CTAsPerSM,NumStages,ThreadsPerBlock,LoadType,LoadBytes,DRAMBandwidthBps,SMCyclesAvg,LDGSTSTotal,LDGSTSWarpPerCycle
1,1,64,float,4,87350306649.87,48490119.59,16776689.0,0.35
1,1,64,float2,8,173968313073.25,24298588.15,8388049.0,0.35
1,1,64,float4,16,341252900609.34,12363303.22,4193729.0,0.34
1,1,128,float,4,174797955522.46,24132085.14,16776097.0,0.7
1,1,128,float2,8,349443094738.92,12077735.01,8387457.0,0.69
1,1,128,float4,16,683650770359.5,6165946.2,4193140.0,0.68
1,1,256,float,4,352342102364.23,11978376.69,16774913.0,1.4
1,1,256,float2,8,700566444073.46,6021756.7,8386276.0,1.39
1,1,256,float4,16,1351667096358.36,3119544.65,4192545.0,1.34
1,2,64,float,4,168118312309.7,12567699.66,8388049.0,0.67
1,2,64,float2,8,335581179430.35,6293147.53,4193729.0,0.67
1,2,64,float4,16,643882935061.95,3276131.51,2096572.0,0.64
1,2,128,float,4,337396729620.47,6248304.27,8387457.0,1.34
1,2,128,float2,8,659562072489.98,3196782.97,4193140.0,1.31
1,2,128,float4,16,1288689173099.82,1635875.04,2096273.0,1.28
1,2,256,float,4,665949137075.98,3167192.34,8386276.0,2.65
1,2,256,float2,8,1319847661014.28,1596483.11,4192545.0,2.63
1,2,256,float4,16,2486388612943.88,846714.34,2095681.0,2.48
1,4,64,float,4,312173841982.1,3383227.68,4193729.0,1.24
1,4,64,float2,8,621775028704.77,1696381.5,2096572.0,1.24
1,4,64,float4,16,1216798665022.13,865990.68,1048137.0,1.21
1,4,128,float,4,626554887835.47,1683149.68,4193140.0,2.49
1,4,128,float2,8,1238716384848.26,850471.93,2096273.0,2.46
1,4,128,float4,16,2321839080459.77,453242.09,1047841.0,2.31
1,4,256,float,4,1244618397626.11,846012.23,4192545.0,4.96
1,4,256,float2,8,2378156028368.79,442084.16,2095681.0,4.74
1,4,256,float4,16,4234455625790.14,248051.58,1046657.0,4.22
1,8,64,float4,16,2119435793731.04,248206.53,523921.0,2.11
1,8,128,float4,16,3814972209567.2,137618.34,523329.0,3.8
1,8,256,float4,16,5699399727148.7,91654.01,522145.0,5.7
1,12,64,float4,16,2258364739183.18,155235.69,348988.0,2.25
1,12,128,float4,16,3893755757152.83,89834.81,348689.0,3.88
1,12,256,float4,16,5376872586872.59,64754.66,348097.0,5.38
1,16,64,float4,16,2215386243386.24,118599.59,261665.0,2.21
