M,N,K,TILE_M,TILE_N,TILE_K,STAGES,dtype,time_ms,TFLOPS
64,16,131072,64,16,16,0,BF16,0.728806,0.368322
64,16,131072,64,16,16,2,BF16,1.93669,0.138606
64,16,131072,64,16,16,3,BF16,1.29578,0.207161
64,16,131072,64,16,16,4,BF16,0.974021,0.275595
64,16,131072,64,16,16,5,BF16,0.786021,0.341512
64,16,131072,64,16,16,6,BF16,0.717397,0.37418
64,16,131072,64,16,16,7,BF16,0.723355,0.371098
64,16,131072,64,16,16,8,BF16,0.729565,0.367939
64,16,131072,64,16,32,0,BF16,0.363544,0.738385
64,16,131072,64,16,32,2,BF16,1.01682,0.263995
64,16,131072,64,16,32,3,BF16,0.681781,0.393727
64,16,131072,64,16,32,4,BF16,0.51333,0.52293
64,16,131072,64,16,32,5,BF16,0.414211,0.648064
64,16,131072,64,16,32,6,BF16,0.36205,0.741433
64,16,131072,64,16,32,7,BF16,0.365006,0.735427
64,16,131072,64,16,32,8,BF16,0.368147,0.729153
64,16,131072,64,16,64,0,BF16,0.197181,1.36137
64,16,131072,64,16,64,2,BF16,0.55861,0.480542
64,16,131072,64,16,64,3,BF16,0.376448,0.713074
64,16,131072,64,16,64,4,BF16,0.284746,0.94272
64,16,131072,64,16,64,5,BF16,0.230712,1.16351
64,16,131072,64,16,64,6,BF16,0.197066,1.36216
64,16,131072,64,16,64,7,BF16,0.197154,1.36155
64,16,131072,64,16,64,8,BF16,0.197693,1.35784
64,16,131072,64,16,128,0,BF16,0.182749,1.46888
64,16,131072,64,16,128,2,BF16,0.358776,0.748198
64,16,131072,64,16,128,3,BF16,0.241099,1.11338
64,16,131072,64,16,128,4,BF16,0.18465,1.45376
64,16,131072,64,16,128,5,BF16,0.182712,1.46917
64,16,131072,64,16,128,6,BF16,0.18287,1.4679
64,16,131072,64,16,128,7,BF16,0.183789,1.46056
64,16,131072,64,16,128,8,BF16,0.183016,1.46673
64,16,131072,64,16,256,0,BF16,0.178646,1.50261
64,16,131072,64,16,256,2,BF16,0.267754,1.00255
64,16,131072,64,16,256,3,BF16,0.181714,1.47724
64,16,131072,64,16,256,4,BF16,0.178552,1.5034
64,16,131072,64,16,256,5,BF16,0.178694,1.5022
# BUILD_FAILED: 64,16,256,6,0
# BUILD_FAILED: 64,16,256,7,0
# BUILD_FAILED: 64,16,256,8,0
64,32,131072,64,32,16,0,BF16,0.765386,0.701439
64,32,131072,64,32,16,2,BF16,2.0317,0.264247
64,32,131072,64,32,16,3,BF16,1.35964,0.394863
64,32,131072,64,32,16,4,BF16,1.02161,0.525516
