CTAsPerSM,ThreadsPerBlock,LoadType,LoadBytes,LatencyCyclesMedian,LatencyCyclesMin,LatencyCyclesMax,LatencyNsMedian,DRAMBandwidthBps,LDGSTSCount
1,32,float4,16,6755.5,6210.57,7293.26,3437.913486005089,22568807339.45,148.0
1,64,float4,16,6607.515,6192.81,6966.58,3362.6030534351144,45564102564.104996,296.0
1,128,float4,16,6630.725,6166.36,7139.26,3374.41475826972,89415115771.08,592.0
2,32,float4,16,6600.96,6246.76,7706.84,3359.267175572519,45344748455.43,296.0
2,64,float4,16,6803.545,6286.26,7278.92,3462.3638676844785,87395395395.39499,592.0
2,128,float4,16,6767.77,6545.73,7143.07,3444.1577608142493,174693602693.60498,1184.0
3,32,float4,16,6851.610000000001,6256.38,7265.5,3486.8244274809163,65123669123.67,444.0
3,64,float4,16,6884.385,6334.58,7471.3,3503.5038167938933,128838961038.965,888.0
3,128,float4,16,6790.235,6596.92,7239.93,3455.590330788804,260395395395.395,1776.0
4,32,float4,16,6899.645,6329.57,7362.5,3511.2697201017813,85777348777.35,592.0
4,64,float4,16,6901.645,6410.2,7398.08,3512.287531806616,170017862838.91498,1184.0
4,128,float4,16,6949.264999999999,6574.2,7350.58,3536.5216284987273,339107142857.145,2368.0
