CTAsPerSM,ThreadsPerBlock,LoadType,LoadBytes,LatencyCyclesMedian,LatencyCyclesMin,LatencyCyclesMax,LatencyNsMedian
1,32,float,4,1200.0,658.0,2162.0,610.6870229007633
1,32,float2,8,1171.0,648.0,2153.0,595.9287531806616
1,32,float4,16,1085.0,403.0,2419.0,552.1628498727736
1,64,float,4,1175.0,395.0,2308.0,597.9643765903307
1,64,float2,8,1891.0,745.0,2929.0,962.3409669211195
1,64,float4,16,1190.0,376.0,2548.0,605.5979643765903
1,128,float,4,1108.0,395.0,2503.0,563.8676844783715
1,128,float2,8,1147.0,376.0,2471.0,583.7150127226463
1,128,float4,16,2063.0,731.0,4331.0,1049.8727735368957
1,256,float,4,1891.0,801.0,3310.0,962.3409669211195
1,256,float2,8,1902.0,1020.0,3471.0,967.9389312977099
1,256,float4,16,1209.0,356.0,2718.0,615.267175572519
2,32,float,4,1936.0,739.0,3031.0,985.2417302798982
2,32,float2,8,1065.0,389.0,2405.0,541.9847328244275
2,32,float4,16,1196.0,374.0,2772.0,608.6513994910941
2,64,float,4,1726.0,1009.0,2922.0,878.3715012722646
2,64,float2,8,1949.0,853.0,3529.0,991.8575063613231
2,64,float4,16,1187.0,357.0,2874.0,604.0712468193384
2,128,float,4,1811.0,1098.0,3039.0,921.6284987277353
2,128,float2,8,1173.0,355.0,2668.0,596.9465648854962
2,128,float4,16,1173.0,354.0,2721.0,596.9465648854962
2,256,float,4,1148.0,349.0,2594.0,584.2239185750636
2,256,float2,8,1178.0,356.0,3134.0,599.4910941475827
2,256,float4,16,1229.0,361.0,3154.0,625.4452926208651
3,32,float,4,1159.0,395.0,2192.0,589.821882951654
3,32,float2,8,1001.0,357.0,2361.0,509.4147582697201
3,32,float4,16,1226.0,352.0,2813.0,623.9185750636132
3,64,float,4,1073.0,340.0,3167.0,546.0559796437659
3,64,float2,8,1131.0,367.0,2590.0,575.5725190839695
3,64,float4,16,1895.0,1048.0,3454.0,964.3765903307888
3,128,float,4,1158.0,355.0,2713.0,589.3129770992366
3,128,float2,8,1958.0,720.0,4067.0,996.4376590330788
3,128,float4,16,2056.0,752.0,4068.0,1046.3104325699744
3,256,float,4,1154.0,343.0,2904.0,587.2773536895675
3,256,float2,8,1190.0,341.0,2910.0,605.5979643765903
3,256,float4,16,2144.0,954.0,4085.0,1091.0941475826971
4,32,float,4,1147.0,389.0,2148.0,583.7150127226463
4,32,float2,8,1127.0,375.0,2694.0,573.5368956743002
4,32,float4,16,1204.0,367.0,2912.0,612.7226463104325
4,64,float,4,1161.0,352.0,2835.0,590.8396946564885
4,64,float2,8,1150.0,350.0,2575.0,585.2417302798982
4,64,float4,16,1182.0,337.0,2647.0,601.5267175572519
4,128,float,4,1141.0,363.0,2779.0,580.6615776081425
4,128,float2,8,1199.0,370.0,2559.0,610.178117048346
4,128,float4,16,1263.0,377.0,2861.0,642.7480916030534
4,256,float,4,1158.0,339.0,3097.0,589.3129770992366
4,256,float2,8,1229.0,341.0,3198.0,625.4452926208651
4,256,float4,16,2177.0,908.0,5900.0,1107.8880407124682
