CTAsPerSM,NumStages,ThreadsPerBlock,LoadType,LoadBytes,DRAMBandwidthBps,SMCyclesAvg,LDGSTSTotal,LDGSTSWarpPerCycle
1,4,64,float4,16,1214091323540.05,868220.74,1048137.0,1.21
1,4,128,float4,16,2316143074161.03,454486.45,1047841.0,2.31
1,4,256,float4,16,4234455625790.14,248051.58,1046657.0,4.22
1,8,64,float4,16,2119435793731.04,248206.53,523921.0,2.11
1,8,128,float4,16,3814972209567.2,137618.34,523329.0,3.8
1,8,256,float4,16,5699399727148.7,91654.01,522145.0,5.7
1,12,64,float4,16,2258364739183.18,155235.69,348988.0,2.25
1,12,128,float4,16,3893755757152.83,89834.81,348689.0,3.88
1,12,256,float4,16,5376872586872.59,64754.66,348097.0,5.38
1,16,64,float4,16,2215386243386.24,118599.59,261665.0,2.21
1,16,128,float4,16,3710337477797.51,70563.77,261073.0,3.7
