CTAsPerSM,ThreadsPerBlock,LoadType,LoadBytes,LatencyCyclesMedian,LatencyCyclesMin,LatencyCyclesMax,LatencyNsMedian
1,32,float,4,2556.0,1919.0,3220.0,811.4285714285714
1,32,float2,8,2344.0,1885.0,3805.0,744.1269841269841
1,32,float4,16,2502.0,2020.0,3476.0,794.2857142857143
1,64,float,4,1217.0,863.0,1947.0,386.3492063492064
1,64,float2,8,2442.0,1948.0,3983.0,775.2380952380953
1,64,float4,16,1354.0,946.0,3339.0,429.8412698412699
1,128,float,4,1225.0,838.0,2346.0,388.8888888888889
1,128,float2,8,1255.0,879.0,2592.0,398.41269841269843
1,128,float4,16,2726.0,2005.0,5012.0,865.3968253968254
1,256,float,4,2572.0,1962.0,4816.0,816.5079365079365
1,256,float2,8,1480.0,863.0,3712.0,469.8412698412699
1,256,float4,16,1903.0,923.0,5664.0,604.1269841269841
2,32,float,4,1162.0,864.0,1849.0,368.8888888888889
2,32,float2,8,1227.0,878.0,1970.0,389.5238095238095
2,32,float4,16,1314.0,935.0,2586.0,417.14285714285717
2,64,float,4,1217.0,857.0,2641.0,386.3492063492064
2,64,float2,8,2537.0,1979.0,3847.0,805.3968253968254
2,64,float4,16,1485.0,930.0,4021.0,471.42857142857144
2,128,float,4,1267.0,818.0,3106.0,402.22222222222223
2,128,float2,8,2080.0,1377.0,4501.0,660.3174603174604
2,128,float4,16,2941.0,1440.0,6958.0,933.6507936507937
2,256,float,4,1694.0,894.0,4399.0,537.7777777777778
2,256,float2,8,1873.0,915.0,5844.0,594.6031746031746
2,256,float4,16,2528.0,943.0,7416.0,802.5396825396825
3,32,float,4,1689.0,1325.0,2553.0,536.1904761904763
3,32,float2,8,1237.0,878.0,2256.0,392.6984126984127
3,32,float4,16,1977.0,1440.0,4414.0,627.6190476190476
3,64,float,4,2371.0,1807.0,3449.0,752.6984126984128
3,64,float2,8,1929.0,1297.0,4160.0,612.3809523809524
3,64,float4,16,1712.0,955.0,4824.0,543.4920634920635
3,128,float,4,2729.0,1698.0,5448.0,866.3492063492064
3,128,float2,8,2962.0,2058.0,6720.0,940.3174603174604
3,128,float4,16,3123.0,1423.0,6847.0,991.4285714285714
3,256,float,4,1671.0,897.0,5390.0,530.4761904761905
3,256,float2,8,3465.0,1761.0,7556.0,1100.0
3,256,float4,16,4517.0,1145.0,8628.0,1433.968253968254
4,32,float,4,1221.0,852.0,2560.0,387.61904761904765
4,32,float2,8,2569.0,1947.0,4415.0,815.5555555555555
4,32,float4,16,1518.0,933.0,3496.0,481.9047619047619
4,64,float,4,2421.0,1810.0,4166.0,768.5714285714286
4,64,float2,8,1443.0,869.0,4334.0,458.09523809523813
4,64,float4,16,1885.0,934.0,5953.0,598.4126984126984
4,128,float,4,1466.0,863.0,4344.0,465.3968253968254
4,128,float2,8,1887.0,899.0,6040.0,599.047619047619
4,128,float4,16,2636.0,966.0,7537.0,836.8253968253969
4,256,float,4,2931.0,1288.0,6521.0,930.4761904761905
4,256,float2,8,2544.0,924.0,6993.0,807.6190476190476
4,256,float4,16,3957.0,984.0,8551.0,1256.1904761904761
