sm_a,sm_b,mean_abs_diff,gpc_a,gpc_b
0,0,0.0,1,1
0,1,2.4,1,1
0,22,2.4,1,1
0,23,2.4,1,1
0,44,2.4,1,1
0,45,2.4,1,1
0,66,2.4,1,1
0,67,2.4,1,1
0,88,2.4,1,1
0,89,2.4,1,1
0,110,2.4,1,1
0,111,2.4,1,1
0,132,2.4,1,1
0,133,2.4,1,1
0,2,2.4,1,2
0,3,2.4,1,2
0,24,2.4,1,2
0,25,2.4,1,2
0,46,2.4,1,2
0,47,2.4,1,2
0,68,2.4,1,2
0,69,2.4,1,2
0,90,2.4,1,2
0,91,2.4,1,2
0,112,2.4,1,2
0,113,2.4,1,2
0,134,2.4,1,2
0,135,2.4,1,2
0,4,2.4,1,3
0,5,2.4,1,3
0,26,2.4,1,3
0,27,2.4,1,3
0,48,2.4,1,3
0,49,2.4,1,3
0,70,2.4,1,3
0,71,2.4,1,3
0,92,2.4,1,3
0,93,2.4,1,3
0,114,2.4,1,3
0,115,2.4,1,3
0,136,2.4,1,3
0,137,2.4,1,3
0,6,2.4,1,4
0,7,2.4,1,4
0,28,2.4,1,4
0,29,2.4,1,4
0,50,2.4,1,4
0,51,2.4,1,4
0,72,2.4,1,4
0,73,2.4,1,4
0,94,2.4,1,4
0,95,2.4,1,4
0,116,2.4,1,4
0,117,2.4,1,4
0,138,2.4,1,4
0,139,2.4,1,4
0,154,2.3,1,4
0,155,2.3,1,4
0,8,2.4,1,5
0,9,2.4,1,5
0,30,2.4,1,5
0,31,2.4,1,5
0,52,2.4,1,5
0,53,2.4,1,5
0,74,2.3,1,5
0,75,2.3,1,5
0,96,2.4,1,5
0,97,2.4,1,5
0,118,2.4,1,5
0,119,2.4,1,5
0,140,2.3,1,5
0,141,2.3,1,5
0,156,2.3,1,5
0,157,2.3,1,5
0,10,2.4,1,6
0,11,2.4,1,6
0,32,2.4,1,6
0,33,2.4,1,6
0,54,2.3,1,6
0,55,2.4,1,6
0,76,2.3,1,6
0,77,2.3,1,6
