sm,gpc,mean_latency
0,1,1.2
1,1,1.2
22,1,1.2
23,1,1.2
44,1,1.2
45,1,1.2
66,1,1.2
67,1,1.2
88,1,1.2
89,1,1.2
110,1,1.2
111,1,1.2
132,1,1.2
133,1,1.2
2,2,1.2
3,2,1.2
24,2,1.2
25,2,1.2
46,2,1.2
47,2,1.2
68,2,1.2
69,2,1.2
90,2,1.2
91,2,1.2
112,2,1.2
113,2,1.2
134,2,1.2
135,2,1.2
4,3,1.2
5,3,1.2
26,3,1.2
27,3,1.2
48,3,1.2
49,3,1.2
70,3,1.2
71,3,1.2
92,3,1.2
93,3,1.2
114,3,1.2
115,3,1.2
136,3,1.2
137,3,1.2
6,4,1.2
7,4,1.2
28,4,1.2
29,4,1.2
50,4,1.2
51,4,1.2
72,4,1.2
73,4,1.2
94,4,1.2
95,4,1.2
116,4,1.2
117,4,1.2
138,4,1.2
139,4,1.2
154,4,1.1
155,4,1.1
8,5,1.2
9,5,1.2
30,5,1.2
31,5,1.2
52,5,1.2
53,5,1.2
74,5,1.1
75,5,1.1
96,5,1.2
97,5,1.2
118,5,1.2
119,5,1.2
140,5,1.1
141,5,1.2
156,5,1.1
157,5,1.1
10,6,1.2
11,6,1.2
32,6,1.2
33,6,1.2
54,6,1.2
55,6,1.2
76,6,1.2
77,6,1.1
98,6,1.2
99,6,1.2
120,6,1.2
121,6,1.2
142,6,1.2
143,6,1.2
158,6,1.1
159,6,1.1
12,7,1.2
13,7,1.2
34,7,1.2
35,7,1.2
56,7,1.2
57,7,1.2
78,7,1.2
79,7,1.2
100,7,1.2
101,7,1.2
122,7,1.2
123,7,1.2
144,7,1.2
145,7,1.2
160,7,1.2
161,7,1.2
14,8,1.2
15,8,1.2
36,8,1.2
37,8,1.2
58,8,1.2
59,8,1.2
80,8,1.2
81,8,1.2
102,8,1.2
103,8,1.2
124,8,1.2
125,8,1.2
146,8,1.2
147,8,1.2
162,8,1.2
163,8,1.2
16,9,1.2
17,9,1.2
38,9,1.2
39,9,1.2
60,9,1.2
61,9,1.2
82,9,1.2
83,9,1.2
104,9,1.2
105,9,1.2
126,9,1.2
127,9,1.2
148,9,1.2
149,9,1.2
164,9,1.2
165,9,1.2
18,10,1.2
19,10,1.2
40,10,1.2
41,10,1.2
62,10,1.2
63,10,1.2
84,10,1.2
85,10,1.2
106,10,1.2
107,10,1.2
128,10,1.2
129,10,1.2
150,10,1.2
151,10,1.2
166,10,1.2
167,10,1.2
20,0,1.2
21,0,1.2
42,0,1.2
43,0,1.2
64,0,1.2
65,0,1.2
86,0,1.1
87,0,1.1
108,0,1.2
109,0,1.2
130,0,1.2
131,0,1.2
152,0,1.2
153,0,1.1
168,0,1.1
169,0,1.1
