PairID,Mode,Family,AType,BType,SparseVariant,Satfinite,M,N,SemanticK,DenseBaseK,DenseInstructionsPerPacket,SparseInstructionsPerPacket,Iterations,Unroll,Warps,DenseBuildStatus,DenseRunStatus,SparseBuildStatus,SparseRunStatus,DenseCycles,DenseCyclesPerPacket,DenseOpsPerCycle,SparseCycles,SparseCyclesPerPacket,SparseOpsPerCycle,SparseOverDenseOpsPerCycle,SparseOverDenseCyclesPerPacket,DenseNotes,SparseNotes
throughput:f16:f16xf16:k16:sp:nosat,throughput,f16,f16,f16,sp,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,511.444000,6274861,191.493561,21.390000,0.041823,23.910698,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:f16:f16xf16:k16:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,511.444000,262311,8.005096,511.674000,1.000450,0.999550,,
throughput:f16:f16xf16:k32:sp:nosat,throughput,f16,f16,f16,sp,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,511.540000,8021484,244.796265,33.465000,0.065420,15.286034,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:f16:f16xf16:k32:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,511.540000,262400,8.007812,1023.001000,1.999846,0.500039,,
throughput:f16f16:f16xf16:k16:sp:nosat,throughput,f16f16,f16,f16,sp,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,131116,4.001343,1023.656000,6409129,195.591095,20.942000,0.020458,48.881362,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:f16f16:f16xf16:k16:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,131116,4.001343,1023.656000,131088,4.000488,1023.875000,1.000214,0.999786,,
throughput:f16f16:f16xf16:k32:sp:nosat,throughput,f16f16,f16,f16,sp,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,267308,8.157593,1004.218000,7846665,239.461212,34.210000,0.034066,29.354396,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:f16f16:f16xf16:k32:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,267308,8.157593,1004.218000,131127,4.001678,2047.141000,2.038542,0.490546,,
throughput:bf16:bf16xbf16:k16:sp:nosat,throughput,bf16,bf16,bf16,sp,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,511.444000,262311,8.005096,511.674000,1.000450,0.999550,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:bf16:bf16xbf16:k16:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,16,8,16,16,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,511.444000,262311,8.005096,511.674000,1.000450,0.999550,,
throughput:bf16:bf16xbf16:k32:sp:nosat,throughput,bf16,bf16,bf16,sp,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,511.540000,262400,8.007812,1023.001000,1.999846,0.500039,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:bf16:bf16xbf16:k32:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,16,8,32,16,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,511.540000,262400,8.007812,1023.001000,1.999846,0.500039,,
