Mode,SparseVariant,Family,Satfinite,InputFormats,Accumulator,SemanticK,SparseInstruction,DenseInstruction,DenseInstructionsPerPacket,Rows,MedianSparseOverDenseOpsPerCycle,MedianSparseOverDenseCyclesPerPacket
throughput,ordered,f16,nosat,f16 x f16,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,1,1,1.000450,0.999550
throughput,ordered,f16,nosat,f16 x f16,f32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,2,1,1.999846,0.500039
throughput,ordered,f16f16,nosat,f16 x f16,f16,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,1,1,1.000214,0.999786
throughput,ordered,f16f16,nosat,f16 x f16,f16,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,2,1,2.038542,0.490546
throughput,ordered,bf16,nosat,bf16 x bf16,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,1,1,1.000450,0.999550
throughput,ordered,bf16,nosat,bf16 x bf16,f32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,2,1,1.999846,0.500039
throughput,ordered,tf32,nosat,tf32 x tf32,f32,8,mma.sp::ordered_metadata.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,1,1,1.000450,0.999550
throughput,ordered,tf32,nosat,tf32 x tf32,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,2,1,1.999844,0.500039
throughput,ordered,fp8,nosat,e4m3/e5m2 x e4m3/e5m2,f32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.f32.e4m3.e4m3.f32,mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32,2,4,1.999844,0.500039
throughput,ordered,int8,nosat,u8/s8 x u8/s8,s32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,1,4,1.000230,0.999770
