Mode,SparseVariant,Family,Rows,MedianSparseOverDenseOpsPerCycle,MinSparseOverDenseOpsPerCycle,MaxSparseOverDenseOpsPerCycle,MedianSparseOverDenseCyclesPerPacket,MedianDenseOpsPerCycle,MedianSparseOpsPerCycle
throughput,ordered,f16,2,1.500148,1.000450,1.999846,0.749795,511.492000,767.337500
throughput,ordered,f16f16,2,1.519378,1.000214,2.038542,0.745166,1013.937000,1535.508000
throughput,ordered,bf16,2,1.500148,1.000450,1.999846,0.749795,511.492000,767.337500
throughput,ordered,tf32,2,1.500147,1.000450,1.999844,0.749795,255.746000,383.668500
throughput,ordered,fp8,4,1.999844,1.999726,1.999844,0.500039,1023.081000,2046.002000
throughput,ordered,int8,16,1.499874,1.000230,1.999498,0.749937,1926.906500,2890.208000
throughput,ordered,int4,16,0.545924,0.206348,0.915055,1.831878,35.983500,19.540500
throughput,sp,f16,2,0.053622,0.041823,0.065420,19.598366,511.492000,27.427500
throughput,sp,f16f16,2,0.027262,0.020458,0.034066,39.117879,1013.937000,27.576000
throughput,sp,bf16,2,1.500148,1.000450,1.999846,0.749795,511.492000,767.337500
throughput,sp,tf32,2,1.500147,1.000450,1.999844,0.749795,255.746000,383.668500
throughput,sp,fp8,4,1.999844,1.999726,1.999844,0.500039,1023.081000,2046.002000
throughput,sp,int8,16,0.019401,0.011386,0.027480,53.023842,1926.906500,37.384500
throughput,sp,int4,16,0.544904,0.225745,0.938439,1.840254,35.983500,20.578500
latency,ordered,f16,2,1.500360,1.000673,2.000047,0.749656,63.937000,95.928000
latency,ordered,f16f16,2,1.519230,1.000430,2.038030,0.745121,126.710000,191.877000
latency,ordered,bf16,2,1.500360,1.000673,2.000047,0.749656,63.937000,95.928000
latency,ordered,tf32,2,1.500360,1.000657,2.000063,0.749656,31.968500,47.964000
latency,ordered,fp8,4,2.000047,2.000047,2.000047,0.499989,127.872000,255.750000
latency,ordered,int8,16,1.500158,1.000071,2.000245,0.749934,240.817500,361.285500
latency,ordered,int4,16,0.552642,0.280493,0.828166,1.824877,43.530500,23.795000
latency,sp,f16,2,0.540494,0.428884,0.652105,1.932543,63.937000,34.557500
latency,sp,f16f16,2,0.264526,0.209227,0.319825,3.953137,126.710000,33.451500
latency,sp,bf16,2,1.500360,1.000673,2.000047,0.749656,63.937000,95.928000
latency,sp,tf32,2,1.500360,1.000657,2.000063,0.749656,31.968500,47.964000
latency,sp,fp8,4,2.000047,2.000047,2.000047,0.499989,127.872000,255.750000
latency,sp,int8,16,0.206045,0.171858,0.239459,4.984438,240.817500,49.620500
latency,sp,int4,16,0.552698,0.280580,0.828166,1.824730,43.530500,23.794500
