Mode,SparseVariant,Family,Rows,MedianSparseOverDenseWorkloadSpeedup,MinSparseOverDenseWorkloadSpeedup,MaxSparseOverDenseWorkloadSpeedup,MedianSparseOverDenseWorkloadCycleRatio,MedianDenseCyclesPerWorkload,MedianSparseCyclesPerWorkload,MedianDenseWorkloadOpsPerCycle,MedianSparseWorkloadOpsPerCycle
latency,ordered,bf16,6,1.998654,1.961920,2.230839,0.500336,73967.859375,36951.609375,63.819000,127.676000
latency,ordered,f16,6,1.998498,1.961920,2.001599,0.500376,73946.562500,36951.281250,63.873500,127.676000
latency,ordered,f16f16,6,2.037302,1.613801,2.047014,0.490849,37812.406250,18525.296875,124.567500,253.783000
latency,ordered,fp8,24,1.999210,1.961895,2.579650,0.500198,73962.375000,36951.000000,127.716000,255.379000
latency,ordered,int4,48,0.613358,0.344716,0.867011,1.650141,254250.546875,557938.500000,44.353500,26.693000
latency,ordered,int8,48,1.992542,1.608682,2.001129,0.501871,39246.203125,19670.093750,239.804500,478.155500
latency,ordered,tf32,6,1.999124,1.963081,2.002195,0.500219,73967.187500,36949.250000,31.936000,63.853000
throughput,ordered,bf16,6,1.992143,1.942624,1.999932,0.501972,9248.984375,4639.515625,509.631500,1015.260000
throughput,ordered,f16,6,1.993370,1.942656,1.999924,0.501664,9238.843750,4629.437500,509.949500,1016.521000
throughput,ordered,f16f16,6,2.039617,1.607768,2.046796,0.490292,4745.109375,2319.953125,990.079000,2020.169000
throughput,ordered,fp8,24,1.995070,1.940709,2.324557,0.501236,9249.187500,4626.078125,1018.940500,2036.224000
throughput,ordered,int4,48,0.670316,0.362528,0.969383,1.506676,259042.671875,540226.906250,36.898500,26.851500
throughput,ordered,int8,48,1.989737,1.489865,2.000026,0.502579,4933.640625,2479.406250,1908.440500,3781.514500
throughput,ordered,tf32,6,1.992742,1.949431,2.001675,0.501821,9249.265625,4637.187500,254.814500,507.780500
