Mode,SparseVariant,Scale,M,N,Rows,MedianSparseOverDenseWorkloadSpeedup,MinSparseOverDenseWorkloadSpeedup,MaxSparseOverDenseWorkloadSpeedup,MedianSparseOverDenseWorkloadCycleRatio,MedianDenseCyclesPerWorkload,MedianSparseCyclesPerWorkload,MedianDenseWorkloadOpsPerCycle,MedianSparseWorkloadOpsPerCycle
latency,ordered,1,16,16,24,1.611309,0.358506,1.963081,0.620613,264.368897,134.750244,113.437000,196.616000
latency,ordered,2,32,32,24,1.928605,0.344716,1.991414,0.518509,2052.550782,1032.806641,123.596500,244.159000
latency,ordered,4,64,64,24,1.988479,0.349872,2.032370,0.502896,16412.375000,8214.453125,126.024000,253.943000
latency,ordered,8,128,128,24,1.996520,0.380051,2.042234,0.500872,131522.250000,65687.875000,126.188000,255.164500
latency,ordered,16,256,256,24,1.998712,0.368851,2.047014,0.500322,1049907.000000,525123.500000,126.408000,255.574000
latency,ordered,32,512,512,24,1.999838,0.383380,2.579650,0.500040,8401159.000000,4198723.000000,102.500500,255.730500
throughput,ordered,1,16,16,24,1.523300,0.415218,1.949431,0.656470,33.164062,17.071533,863.490000,1553.232000
throughput,ordered,2,32,32,24,1.894440,0.413088,1.988278,0.527861,258.296875,129.966797,983.298000,1933.200000
throughput,ordered,4,64,64,24,1.970939,0.412508,2.033956,0.507373,2060.312500,1035.125000,1001.171000,2014.170500
throughput,ordered,8,128,128,24,1.989851,0.412507,2.046796,0.502551,16438.062500,8239.125000,1008.143500,2036.224000
throughput,ordered,16,256,256,24,1.998695,0.362528,2.045279,0.500327,131238.687500,65639.312500,1011.319500,2044.708500
throughput,ordered,32,512,512,24,1.999824,0.380941,2.324557,0.500043,1049641.000000,524839.062500,940.310000,2045.848000
