PairID,Mode,Family,AType,BType,SparseVariant,Satfinite,Scale,M,N,K,AElements,BElements,CElements,SemanticK,DenseBaseK,DenseInstructionsPerPacket,SparseInstructionsPerPacket,WorkloadPackets,Iterations,Unroll,Warps,WarmupLaunches,DenseBuildStatus,DenseRunStatus,SparseBuildStatus,SparseRunStatus,DenseCycles,DenseCyclesPerPacket,DenseCyclesPerWorkload,DenseWorkloadOpsPerCycle,SparseCycles,SparseCyclesPerPacket,SparseCyclesPerWorkload,SparseWorkloadOpsPerCycle,SparseOverDenseWorkloadSpeedup,SparseOverDenseWorkloadCycleRatio,DenseNotes,SparseNotes
throughput:f16:f16xf16:m16n16k32:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,1,16,16,32,512,512,256,32,16,2,1,2,256,8,864,3,ok,ok,ok,ok,67921,16.582275,33.164551,494.021000,34963,8.535889,17.071777,959.713000,1.942656,0.514760,,
throughput:f16:f16xf16:m32n32k64:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,2,32,32,64,2048,2048,1024,32,16,2,1,16,32,8,864,3,ok,ok,ok,ok,66038,16.122559,257.960938,508.108000,33302,8.130371,130.085938,1007.580000,1.983004,0.504285,,
throughput:f16:f16xf16:m64n64k128:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,4,64,64,128,8192,8192,4096,32,16,2,1,128,4,8,864,3,ok,ok,ok,ok,65930,16.096191,2060.312500,508.940000,33124,8.086914,1035.125000,1012.995000,1.990402,0.502412,,
throughput:f16:f16xf16:m128n128k256:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,8,128,128,256,32768,32768,16384,32,16,2,1,1024,1,8,864,3,ok,ok,ok,ok,131339,16.032593,16417.375000,510.959000,65790,8.031006,8223.750000,1020.047000,1.996338,0.500917,,
throughput:f16:f16xf16:m256n256k512:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,16,256,256,512,131072,131072,65536,32,16,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049925,16.020584,131240.625000,511.342000,525124,8.012756,65640.500000,1022.370000,1.999386,0.500154,,
throughput:f16:f16xf16:m512n512k1024:ordered:nosat,throughput,f16,f16,f16,ordered,nosat,32,512,512,1024,524288,524288,262144,32,16,2,1,65536,1,8,864,3,ok,ok,ok,ok,8397110,16.016216,1049638.750000,511.482000,4198711,8.008406,524838.875000,1022.925000,1.999924,0.500019,,
throughput:f16f16:f16xf16:m16n16k32:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,1,16,16,32,512,512,256,32,16,2,1,2,256,8,864,3,ok,ok,ok,ok,45376,11.078125,22.156250,739.475000,28223,6.890381,13.780762,1188.904000,1.607768,0.621981,,
throughput:f16f16:f16xf16:m32n32k64:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,2,32,32,64,2048,2048,1024,32,16,2,1,16,32,8,864,3,ok,ok,ok,ok,35238,8.603027,137.648438,952.223000,18142,4.429199,70.867188,1849.544000,1.942343,0.514842,,
throughput:f16f16:f16xf16:m64n64k128:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,4,64,64,128,8192,8192,4096,32,16,2,1,128,4,8,864,3,ok,ok,ok,ok,34083,8.321045,1065.093750,984.492000,16757,4.091064,523.656250,2002.413000,2.033956,0.491653,,
throughput:f16f16:f16xf16:m128n128k256:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,8,128,128,256,32768,32768,16384,32,16,2,1,1024,1,8,864,3,ok,ok,ok,ok,67401,8.227661,8425.125000,995.666000,32930,4.019775,4116.250000,2037.925000,2.046796,0.488568,,
