CTAsPerSM,NumStages,SmemWidth,SmemHeight,BytesInFlightPerSM,DRAMBandwidthBps,SMCyclesAvg,TMAAvgOps,CyclesPerTMA
1,1,128,1,512,165555041201.71,25509272.99,28339.0,900.1472525494901
1,2,128,1,1024,319365189205.63,13229937.53,28339.0,466.8456025265535
1,4,128,1,2048,580205695710.06,7272952.03,28339.0,256.6410963689615
1,1,128,2,1024,321210557050.0,13136856.57,14169.0,927.1548147363964
1,2,128,2,2048,616891977606.8,6840099.39,14169.0,482.75103324158374
1,4,128,2,4096,1104659873911.54,3819847.36,14169.0,269.59188086668075
1,1,128,4,2048,615915616458.46,6855329.97,7084.0,967.7202103331451
1,2,128,4,4096,1171984843987.36,3600956.74,7084.0,508.32252117447774
1,4,128,4,8192,2110922830087.77,1998622.82,7084.0,282.1319621682665
1,1,128,8,4096,1148251423880.14,3676248.97,3542.0,1037.9020242800677
1,2,128,8,8192,2181350757428.0,1934143.18,3542.0,546.0596216826651
1,4,128,8,16384,3788605499407.15,1113532.78,3542.0,314.37966685488425
1,1,128,16,8192,1893669300225.73,2228337.77,1771.0,1258.2370242800678
1,2,128,16,16384,3592692616587.25,1174243.99,1771.0,663.0400846979107
1,4,128,16,32768,5867612451906.26,718888.96,1771.0,405.9226199887069
1,1,128,32,16384,3391431316042.27,1243565.84,885.0,1405.159141242938
1,2,128,32,32768,5765842317943.43,731214.08,885.0,826.2305988700565
1,4,128,32,65536,7222686052773.29,583510.46,885.0,659.3338531073446
1,1,128,64,32768,5423094706168.04,776698.12,442.0,1757.2355656108598
1,2,128,64,65536,7174318089322.05,586854.8,442.0,1327.7257918552036
1,4,128,64,131072,6983969140950.79,602904.49,442.0,1364.0373076923076
1,1,128,128,65536,7063142134120.62,596165.36,221.0,2697.580814479638
1,2,128,128,131072,7133105313598.13,590253.34,221.0,2670.8295927601807
1,1,128,256,131072,7259997822536.75,577285.31,110.0,5248.048272727273
