mode,mode_name,cluster_size,sharing_group,smem_width,smem_height,tile_bytes,total_smem_bytes,gpu_time_ns,sm_cycles,tma_instructions,smsp_tma_instructions,tma_xbar_active_cycles,tma_mcast_requests,tma_mcast_req_32B,tma_mcast_req_64B,tma_mcast_req_96B,tma_mcast_req_128B,tma_mcast_req_replayed,tma_ld_bytes,tma_ld_bytes_self,tma_ld_bytes_mcast,tma_ld_sectors,tma_ld_sectors_self,tma_ld_sectors_mcast,tma_pipe_bytes,tma_pipe_sectors,lts_sectors_total,lts_sectors_read,lts_sectors_tex,lts_sectors_tex_read,lts_requests_tex,lts_tex_hit,lts_tex_miss,lts_hit,lts_miss,lts_hit_rate_pct,dram_bytes_read,dram_bytes_total,dram_sectors_read,dram_throughput_pct_peak,gcc_xbar2gcc_sectors,stall_barrier,stall_long_scoreboard,stall_mio_throttle,lrc_ilc_input_sectors
0,implicit_l2_intra,1,1,32,8,1024,4128,3325920,6523535.95,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107056739,100702180,67099648,67099648,16774912,0,67099648,7223,107050587,n/a,2148961024,2152871680,67155032,7.91,1088,352142.97,2940412.14,0,5883
1,explicit_mcast,1,1,32,8,1024,4128,3351520,6582950.03,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107004799,100646223,67099648,67099648,16774912,0,67099648,3330,106990637,n/a,2147193856,2150662144,67099808,7.84,1088,352094.51,2947643.57,0,4158
0,implicit_l2_intra,1,1,64,4,1024,4128,3324064,6523659.54,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107016584,100649394,67099648,67099648,16774912,0,67099648,7156,107051638,n/a,2147293952,2150984192,67102936,7.91,1024,352158.25,2940392.36,0,8972
1,explicit_mcast,1,1,64,4,1024,4128,3349504,6587753.57,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107074594,100711054,67099648,67099648,16774912,0,67099648,5302,107020694,n/a,2149107712,2152314368,67159616,7.85,1088,351448.17,2947239.78,0,9311
0,implicit_l2_intra,1,1,128,4,2048,8224,1741216,3410641.59,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107038521,100682783,67099648,67099648,16774912,0,67099648,5558,107005460,n/a,2148173568,2152046080,67130424,15.10,1024,190949.59,1559249.78,0,4712
1,explicit_mcast,1,1,128,4,2048,8224,1746368,3422001.68,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107009305,100652973,67099648,67099648,16774912,0,67099648,8819,107034670,n/a,2147230720,2151065344,67100960,15.05,1088,190200.99,1560438.85,0,4213
0,implicit_l2_intra,1,1,32,16,2048,8224,1740096,3419360.14,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107049874,100685306,67099648,67099648,16774912,0,67099648,5508,107036919,n/a,2148198656,2151604736,67131208,15.11,1024,190493.23,1559695.33,0,7239
1,explicit_mcast,1,1,32,16,2048,8224,1746304,3422455,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107037905,100683053,67099648,67099648,16774912,0,67099648,8217,107028455,n/a,2148146432,2151582976,67129576,15.06,1088,189741.84,1560317.70,0,4789
0,implicit_l2_intra,1,1,64,8,2048,8224,1741536,3415015.62,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107053763,100694181,67099648,67099648,16774912,0,67099648,6808,107021984,n/a,2148439552,2151990528,67138736,15.10,1088,190680.18,1558724.26,0,6982
1,explicit_mcast,1,1,64,8,2048,8224,1745728,3424132.15,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107011497,100653963,67099648,67099648,16774912,0,67099648,13987,107004257,n/a,2147268352,2151224320,67102136,15.06,1088,189582.79,1561032.42,0,4490
