mode,mode_name,cluster_size,sharing_group,smem_width,smem_height,tile_bytes,total_smem_bytes,gpu_time_ns,sm_cycles,tma_instructions,smsp_tma_instructions,tma_xbar_active_cycles,tma_mcast_requests,tma_mcast_req_32B,tma_mcast_req_64B,tma_mcast_req_96B,tma_mcast_req_128B,tma_mcast_req_replayed,tma_ld_bytes,tma_ld_bytes_self,tma_ld_bytes_mcast,tma_ld_sectors,tma_ld_sectors_self,tma_ld_sectors_mcast,tma_pipe_bytes,tma_pipe_sectors,lts_sectors_total,lts_sectors_read,lts_sectors_tex,lts_sectors_tex_read,lts_requests_tex,lts_tex_hit,lts_tex_miss,lts_hit,lts_miss,lts_hit_rate_pct,dram_bytes_read,dram_bytes_total,dram_sectors_read,dram_throughput_pct_peak,gcc_xbar2gcc_sectors,stall_barrier,stall_long_scoreboard,stall_mio_throttle,lrc_ilc_input_sectors
0,implicit_l2_intra,1,1,32,8,1024,4128,3316576,6513896.61,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107012942,100661215,67099648,67099648,16774912,0,67099648,42554,107020442,n/a,2147694848,2151175424,67115464,7.93,1088,357705.55,2925245.32,0,5629
0,implicit_l2_intra,1,1,64,4,1024,4128,3318720,6508343.64,2096864,2096864,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107080296,100710463,67099648,67099648,16774912,0,67099648,8854,106997031,n/a,2148963584,2153025280,67155112,7.93,1024,357916.35,2925470.33,0,17416
0,implicit_l2_intra,1,1,128,4,2048,8224,1743456,3418869.62,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107008389,100652485,67099648,67099648,16774912,0,67099648,5555,107048620,n/a,2147225856,2150593024,67100808,15.07,1024,191660.66,1560203.44,0,4002
0,implicit_l2_intra,1,1,32,16,2048,8224,1738688,3412206.34,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107038190,100678933,67099648,67099648,16774912,0,67099648,7023,107014548,n/a,2148051712,2151291648,67126616,15.12,1024,191925.01,1561297.42,0,6623
0,implicit_l2_intra,1,1,64,8,2048,8224,1744320,3416752.89,1048432,1048432,8387456,0,0,0,0,0,0,2147188736,2147188736,0,67099648,67099648,0,2147188736,67099648,107033082,100682510,67099648,67099648,16774912,0,67099648,8846,107046985,n/a,2148118528,2151899904,67128704,15.07,1088,191889.21,1560311.02,0,2617
0,implicit_l2_intra,1,1,32,32,4096,16416,929696,1825716.28,523920,523920,8382720,0,0,0,0,0,0,2145976320,2145976320,0,67061760,67061760,0,2145976320,67061760,106842302,100614176,67061760,67061760,16765440,0,67061760,6411,106835758,n/a,2146573312,2150012416,67080416,28.26,1088,90053.07,863055.53,0,5640
0,implicit_l2_intra,1,1,64,16,4096,16416,931136,1818399.16,523920,523920,8382720,0,0,0,0,0,0,2145976320,2145976320,0,67061760,67061760,0,2145976320,67061760,106842098,100616067,67061760,67061760,16765440,0,67061760,7212,106835322,n/a,2146637312,2150316800,67082416,28.22,1024,90177.79,863120.49,0,5509
0,implicit_l2_intra,1,1,128,8,4096,16416,928960,1817403.14,523920,523920,8382720,0,0,0,0,0,0,2145976320,2145976320,0,67061760,67061760,0,2145976320,67061760,106837724,100612565,67061760,67061760,16765440,0,67061760,7977,106828793,n/a,2146551040,2149746944,67079720,28.28,1088,90043.96,862847.83,0,5284
0,implicit_l2_intra,1,1,32,48,6144,24608,687712,1360438.20,349280,349280,8382720,0,0,0,0,0,0,2145976320,2145976320,0,67061760,67061760,0,2145976320,67061760,106819599,100595535,67061760,67061760,16765440,0,67061760,4003,106855992,n/a,2146018816,2149189120,67063088,38.19,1088,56833.01,682742.83,0,3828
0,implicit_l2_intra,1,1,64,24,6144,24608,692832,1354836.99,349280,349280,8382720,0,0,0,0,0,0,2145976320,2145976320,0,67061760,67061760,0,2145976320,67061760,106836196,100608747,67061760,67061760,16765440,0,67061760,6311,106866839,n/a,2146418176,2149649664,67075568,37.91,1088,56776.16,682857.99,0,4491
